ID	Description	geneID	status	celltype	Tissue	Dataset	Dataset name for plot
GO:0032376	positive regulation of cholesterol transport	TREM2/CES1/APOE	Down	C6_Macrophages_RBM47	Lung	GSE145926	Liao et al., 2020
GO:0010887	negative regulation of cholesterol storage	TREM2/CES1	Down	C6_Macrophages_RBM47	Lung	GSE145926	Liao et al., 2020
GO:0008203	cholesterol metabolic process	CES1/APOE/APOC1/CYP27A1/LIPA	Down	C6_Macrophages_RBM47	Lung	GSE145926	Liao et al., 2020
GO:0032370	positive regulation of lipid transport	TREM2/CES1/RETN/APOE	Down	C6_Macrophages_RBM47	Lung	GSE145926	Liao et al., 2020
GO:0033700	phospholipid efflux	APOE/APOC1	Down	C6_Macrophages_RBM47	Lung	GSE145926	Liao et al., 2020
GO:0070341	fat cell proliferation	TREM2/LIPA	Down	C6_Macrophages_RBM47	Lung	GSE145926	Liao et al., 2020
GO:0140353	lipid export from cell	INHBA/RETN/TSPO	Down	C6_Macrophages_RBM47	Lung	GSE145926	Liao et al., 2020
GO:0090205	positive regulation of cholesterol metabolic process	CES1/APOE	Down	C6_Macrophages_RBM47	Lung	GSE145926	Liao et al., 2020
GO:0042632	cholesterol homeostasis	FABP4/CES1/APOE/TSPO	Down	C6_Macrophages_RBM47	Lung	GSE145926	Liao et al., 2020
GO:0010874	regulation of cholesterol efflux	TREM2/CES1/APOE	Down	C6_Macrophages_RBM47	Lung	GSE145926	Liao et al., 2020
GO:0010883	regulation of lipid storage	TREM2/CES1/MSR1	Down	C6_Macrophages_RBM47	Lung	GSE145926	Liao et al., 2020
GO:0010878	cholesterol storage	MSR1/TREM2/PPARG/NPC2/LIPA	Down	C2_Epithelial_CAPS	Lung	GSE145926	Liao et al., 2020
GO:0019915	lipid storage	APOE/MSR1/TREM2/PPARG/PLIN2/NPC2/LIPA/HEXB	Down	C2_Epithelial_CAPS	Lung	GSE145926	Liao et al., 2020
GO:0006869	lipid transport	FABP4/APOE/APOC1/RETN/MSR1/RBP4/TREM2/INHBA/TSPO/PPARG/PSAP/FABP5/PLIN2/SLCO2B1/NPC2/LIPA/DAB2	Down	C2_Epithelial_CAPS	Lung	GSE145926	Liao et al., 2020
GO:0030301	cholesterol transport	APOE/APOC1/MSR1/TREM2/TSPO/PPARG/NPC2/LIPA	Down	C2_Epithelial_CAPS	Lung	GSE145926	Liao et al., 2020
GO:0033344	cholesterol efflux	APOE/APOC1/TREM2/PPARG/NPC2/LIPA	Down	C2_Epithelial_CAPS	Lung	GSE145926	Liao et al., 2020
GO:1905952	regulation of lipid localization	APOE/APOC1/RETN/MSR1/TREM2/TSPO/PPARG/PLIN2/DAB2	Down	C2_Epithelial_CAPS	Lung	GSE145926	Liao et al., 2020
GO:1905954	positive regulation of lipid localization	APOE/RETN/MSR1/TREM2/PPARG/PLIN2/DAB2	Down	C2_Epithelial_CAPS	Lung	GSE145926	Liao et al., 2020
GO:0010889	regulation of sequestering of triglyceride	TREM2/PPARG/PLIN2	Down	C2_Epithelial_CAPS	Lung	GSE145926	Liao et al., 2020
GO:0030730	sequestering of triglyceride	TREM2/PPARG/PLIN2	Down	C2_Epithelial_CAPS	Lung	GSE145926	Liao et al., 2020
GO:0015909	long-chain fatty acid transport	FABP4/APOE/PPARG/FABP5/PLIN2	Down	C2_Epithelial_CAPS	Lung	GSE145926	Liao et al., 2020
GO:0010885	regulation of cholesterol storage	MSR1/TREM2/PPARG	Down	C2_Epithelial_CAPS	Lung	GSE145926	Liao et al., 2020
GO:0140353	lipid export from cell	RETN/INHBA/TSPO/DAB2	Down	C2_Epithelial_CAPS	Lung	GSE145926	Liao et al., 2020
GO:0032368	regulation of lipid transport	APOE/APOC1/RETN/TREM2/TSPO/PPARG/DAB2	Down	C2_Epithelial_CAPS	Lung	GSE145926	Liao et al., 2020
GO:0032374	regulation of cholesterol transport	APOE/APOC1/TREM2/TSPO/PPARG	Down	C2_Epithelial_CAPS	Lung	GSE145926	Liao et al., 2020
GO:0015908	fatty acid transport	FABP4/APOE/PPARG/FABP5/PLIN2/SLCO2B1	Down	C2_Epithelial_CAPS	Lung	GSE145926	Liao et al., 2020
GO:0019216	regulation of lipid metabolic process	APOE/APOC1/TREM2/CD74/TSPO/PPARG/PSAP/FABP5/NPC2/ASAH1/DAB2	Down	C2_Epithelial_CAPS	Lung	GSE145926	Liao et al., 2020
GO:0032370	positive regulation of lipid transport	APOE/RETN/TREM2/PPARG/DAB2	Down	C2_Epithelial_CAPS	Lung	GSE145926	Liao et al., 2020
GO:0010883	regulation of lipid storage	MSR1/TREM2/PPARG/PLIN2	Down	C2_Epithelial_CAPS	Lung	GSE145926	Liao et al., 2020
GO:0010875	positive regulation of cholesterol efflux	APOE/TREM2/PPARG	Down	C2_Epithelial_CAPS	Lung	GSE145926	Liao et al., 2020
GO:0055088	lipid homeostasis	FABP4/APOE/TREM2/TSPO/PPARG/NPC2/LIPA	Down	C2_Epithelial_CAPS	Lung	GSE145926	Liao et al., 2020
GO:0030149	sphingolipid catabolic process	ASAH1/PPT1/HEXB	Down	C2_Epithelial_CAPS	Lung	GSE145926	Liao et al., 2020
