ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	celltype	Dataset	status
GO:0010878	cholesterol storage	4/185	25/18870	9.629037909170491e-5	0.002439850067139046	0.0018540770970046504	MSR1/PPARG/ABCG1/TREM2	4	C3_Epithelial_TYROBP	GSE145926	Down
GO:0010883	regulation of lipid storage	5/185	54/18870	1.8386122963235104e-4	0.004092154664925435	0.0031096870843935333	MSR1/PPARG/ABCG1/ABHD5/TREM2	5	C3_Epithelial_TYROBP	GSE145926	Down
GO:0006641	triglyceride metabolic process	6/185	106/18870	6.206277343146375e-4	0.009876076119963361	0.007504972042716542	APOC1/APOE/SEL1L/ABHD5/CAT/APOBR	6	C3_Epithelial_TYROBP	GSE145926	Down
GO:0034368	protein-lipid complex remodeling	3/185	33/18870	0.004074609478144576	0.037172322787386136	0.02824778180053182	APOC1/APOE/ABCG1	3	C3_Epithelial_TYROBP	GSE145926	Down
GO:0050873	brown fat cell differentiation	2/34	54/18870	0.004252360760142883	0.03745513720045044	0.026043166377908565	PLAC8/PIM1	2	C1_CD14 Monocytes_VCAN	GSE150728	Up
GO:0045444	fat cell differentiation	3/29	248/18870	0.006367419073140133	0.03560731647686752	0.023470771916818678	PLAC8/RETN/MAFB	3	C10_cMo_CD14	GSE155673	Up
GO:2001279	regulation of unsaturated fatty acid biosynthetic process	2/9	15/18870	2.1164322389805145e-5	0.0010803143315083828	4.4498073151375044e-4	PTGS2/IL1B	2	C4_Granulocytes_CD177	GSE157344_Blood	Down
GO:0019216	regulation of lipid metabolic process	2/9	342/18870	0.010838890322011758	0.03463884314595218	0.01426771571229152	PTGS2/IL1B	2	C4_Granulocytes_CD177	GSE157344_Blood	Down
GO:0006631	fatty acid metabolic process	2/9	401/18870	0.0146910079879422	0.040147562453407705	0.016536753413302945	PTGS2/IL1B	2	C4_Granulocytes_CD177	GSE157344_Blood	Down
GO:0090520	sphingolipid mediated signaling pathway	1/3	18/18870	0.0028591077119841657	0.02337009781969666	0.0034021418998438587	EZR	1	C14_Naive_B_IGHD	GSE157344_Blood	Down
GO:2001279	regulation of unsaturated fatty acid biosynthetic process	2/5	15/18870	5.889791593143529e-6	7.006401432569497e-4	1.6353614327736584e-4	PTGS2/IL1B	2	C7_Granulocytes_PI3	GSE157344_Blood	Down
GO:0019216	regulation of lipid metabolic process	2/5	342/18870	0.0031589044382323095	0.015118575179412338	0.003528820751258715	PTGS2/IL1B	2	C7_Granulocytes_PI3	GSE157344_Blood	Down
GO:0006631	fatty acid metabolic process	2/5	401/18870	0.0043173523619589845	0.017381021646137508	0.0040568975009291205	PTGS2/IL1B	2	C7_Granulocytes_PI3	GSE157344_Blood	Down
GO:0050873	brown fat cell differentiation	1/5	54/18870	0.014228267144696272	0.03166936880593686	0.007391935053101968	PTGS2	1	C7_Granulocytes_PI3	GSE157344_Blood	Down
GO:0070542	response to fatty acid	1/5	56/18870	0.01475211224839934	0.03252063083512954	0.007590627792181265	PTGS2	1	C7_Granulocytes_PI3	GSE157344_Blood	Down
GO:2001279	regulation of unsaturated fatty acid biosynthetic process	2/6	15/18870	8.83062955517908e-6	8.63942569422686e-4	2.768360864868359e-4	PTGS2/IL1B	2	C5_Granulocytes_resting_CXCL8	GSE157344_Blood	Down
GO:0019216	regulation of lipid metabolic process	2/6	342/18870	0.0046816869059757285	0.023629437181433097	0.007571661759375621	PTGS2/IL1B	2	C5_Granulocytes_resting_CXCL8	GSE157344_Blood	Down
GO:0006631	fatty acid metabolic process	2/6	401/18870	0.006385210086574722	0.025691969579117225	0.008232566103525176	PTGS2/IL1B	2	C5_Granulocytes_resting_CXCL8	GSE157344_Blood	Down
GO:0050873	brown fat cell differentiation	1/6	54/18870	0.017049983210118413	0.0418555544508322	0.013411919150653661	PTGS2	1	C5_Granulocytes_resting_CXCL8	GSE157344_Blood	Down
GO:0070542	response to fatty acid	1/6	56/18870	0.017676781302949585	0.042776552619237435	0.013707037758795896	PTGS2	1	C5_Granulocytes_resting_CXCL8	GSE157344_Blood	Down
GO:0015911	long-chain fatty acid import across plasma membrane	2/30	10/18870	1.09087003250723e-4	0.0036208493771297673	0.0023981474803701453	ACSL1/THBS1	2	C11_Mah_CTSL	GSE157344_Blood	Up
GO:0050873	brown fat cell differentiation	2/22	54/18870	0.0017898488801823503	0.04251563107275306	0.027224921651850642	PTGS2/RGS2	2	C12_iMO_IFI27	GSE157344_Blood	Down
GO:0070542	response to fatty acid	2/22	56/18870	0.0019234682622759928	0.04251563107275306	0.027224921651850642	PTGS2/CAT	2	C12_iMO_IFI27	GSE157344_Blood	Down
GO:0070542	response to fatty acid	3/100	56/18870	0.003265820198042511	0.037517490004565654	0.029893091057597354	ACSL1/TLR2/PTGS2	3	C2_CD8_Te_PRF1	GSE157344_Blood	Up
GO:2001279	regulation of unsaturated fatty acid biosynthetic process	2/7	15/18870	1.2357203118940618e-5	0.0012431894422207897	3.9747030869620865e-4	PTGS2/IL1B	2	C8_Granulocytes_CCL4	GSE157344_Blood	Down
