ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	celltype	Dataset	status	TermID_revigo	Description_revigo
GO:0033700	phospholipid efflux	2/51	14/18870	6.383206930969694e-4	0.007924377613402016	0.005260319414900583	APOC1/APOE	2	C1_Epithelial_Secretory_SCGB1A1	GSE145926	Down	GO:0030301	cholesterol transport
GO:0006869	lipid transport	6/51	453/18870	0.0013366262276551402	0.014060083524494529	0.009333292019544533	FABP4/RETN/RBP4/APOC1/APOE/MSR1	6	C1_Epithelial_Secretory_SCGB1A1	GSE145926	Down	GO:0030301	cholesterol transport
GO:1905952	regulation of lipid localization	4/51	183/18870	0.0014989389651247319	0.015464561759460867	0.010265605506814981	RETN/APOC1/APOE/MSR1	4	C1_Epithelial_Secretory_SCGB1A1	GSE145926	Down	GO:1905952	regulation of lipid localization
GO:0065005	protein-lipid complex assembly	2/51	30/18870	0.002968162993614633	0.0244917880550956	0.016258012237321883	APOC1/APOE	2	C1_Epithelial_Secretory_SCGB1A1	GSE145926	Down	GO:0034368	protein-lipid complex remodeling
GO:1905954	positive regulation of lipid localization	3/51	111/18870	0.0033598471606506577	0.02723452580809768	0.01807868224523481	RETN/APOE/MSR1	3	C1_Epithelial_Secretory_SCGB1A1	GSE145926	Down	GO:1905952	regulation of lipid localization
GO:0034368	protein-lipid complex remodeling	2/51	33/18870	0.0035841522304987427	0.028548911986284783	0.018951191288733845	APOC1/APOE	2	C1_Epithelial_Secretory_SCGB1A1	GSE145926	Down	GO:0034368	protein-lipid complex remodeling
GO:0030301	cholesterol transport	3/51	128/18870	0.00500734304698752	0.03670275914228086	0.02436383599010165	APOC1/APOE/MSR1	3	C1_Epithelial_Secretory_SCGB1A1	GSE145926	Down	GO:0030301	cholesterol transport
GO:0008203	cholesterol metabolic process	3/51	140/18870	0.006418132174126923	0.04293294240750922	0.02849952406395655	APOC1/APOE/CYP27A1	3	C1_Epithelial_Secretory_SCGB1A1	GSE145926	Down	GO:0008203	cholesterol metabolic process
GO:0010878	cholesterol storage	4/131	25/18870	2.5060967733472987e-5	7.023183396526942e-4	5.591265971858287e-4	TREM2/CES1/MSR1/LIPA	4	C6_Macrophages_RBM47	GSE145926	Down	GO:0010878	cholesterol storage
GO:0030301	cholesterol transport	7/131	128/18870	3.115226347913463e-5	8.300371381445589e-4	6.608055270465133e-4	TREM2/CES1/APOE/APOC1/MSR1/TSPO/LIPA	7	C6_Macrophages_RBM47	GSE145926	Down	GO:0030301	cholesterol transport
GO:0006869	lipid transport	12/131	453/18870	7.618324823006671e-5	0.001804836128172096	0.001436858224892631	TREM2/INHBA/FABP4/RBP4/CES1/RETN/APOE/APOC1/MSR1/TSPO/PSAP/LIPA	12	C6_Macrophages_RBM47	GSE145926	Down	GO:0030301	cholesterol transport
GO:0033344	cholesterol efflux	5/131	73/18870	1.5370873679329604e-4	0.0032111152468272206	0.0025564189908779764	TREM2/CES1/APOE/APOC1/LIPA	5	C6_Macrophages_RBM47	GSE145926	Down	GO:0030301	cholesterol transport
GO:0032374	regulation of cholesterol transport	5/131	80/18870	2.3666470459800712e-4	0.004488724787805683	0.003573543896846813	TREM2/CES1/APOE/APOC1/TSPO	5	C6_Macrophages_RBM47	GSE145926	Down	GO:1905952	regulation of lipid localization
GO:0010885	regulation of cholesterol storage	3/131	19/18870	2.920885984568326e-4	0.0054132772423316315	0.004309594543159899	TREM2/CES1/MSR1	3	C6_Macrophages_RBM47	GSE145926	Down	GO:0010885	regulation of cholesterol storage
GO:1905952	regulation of lipid localization	7/131	183/18870	2.921002515444397e-4	0.0054132772423316315	0.004309594543159899	TREM2/CES1/RETN/APOE/APOC1/MSR1/TSPO	7	C6_Macrophages_RBM47	GSE145926	Down	GO:1905952	regulation of lipid localization
GO:0019915	lipid storage	5/131	94/18870	5.00157247375697e-4	0.008641814695258283	0.006879883624368511	TREM2/CES1/APOE/MSR1/LIPA	5	C6_Macrophages_RBM47	GSE145926	Down	GO:0010878	cholesterol storage
GO:0032368	regulation of lipid transport	6/131	153/18870	7.000390460855176e-4	0.011249578516814822	0.008955965124009053	TREM2/CES1/RETN/APOE/APOC1/TSPO	6	C6_Macrophages_RBM47	GSE145926	Down	GO:1905952	regulation of lipid localization
GO:0010875	positive regulation of cholesterol efflux	3/131	27/18870	8.466387285950705e-4	0.013057555693365584	0.010395323986564694	TREM2/CES1/APOE	3	C6_Macrophages_RBM47	GSE145926	Down	GO:1905952	regulation of lipid localization
GO:1905954	positive regulation of lipid localization	5/131	111/18870	0.0010633293145965311	0.015860405571628225	0.012626716542297585	TREM2/CES1/RETN/APOE/MSR1	5	C6_Macrophages_RBM47	GSE145926	Down	GO:1905952	regulation of lipid localization
GO:1905953	negative regulation of lipid localization	4/131	66/18870	0.0011462176019296948	0.01688466698227204	0.013442147045572266	TREM2/CES1/APOC1/TSPO	4	C6_Macrophages_RBM47	GSE145926	Down	GO:1905952	regulation of lipid localization
GO:0033559	unsaturated fatty acid metabolic process	5/131	115/18870	0.0012455935971640568	0.018002352743918256	0.01433195413353943	CD74/AKR1B1/SCD/ALOX5/MGST3	5	C6_Macrophages_RBM47	GSE145926	Down	GO:0006631	fatty acid metabolic process
GO:0055088	lipid homeostasis	6/131	175/18870	0.0014027790641800036	0.019680885421700475	0.01566826020929661	TREM2/FABP4/CES1/APOE/TSPO/LIPA	6	C6_Macrophages_RBM47	GSE145926	Down	GO:0042632	cholesterol homeostasis
GO:0006631	fatty acid metabolic process	9/131	401/18870	0.001956757056117414	0.025549021107714873	0.020339974662273122	CD74/AKR1B1/SCD/ALOX5AP/CES1/APOC1/ALOX5/MGST3/LIPA	9	C6_Macrophages_RBM47	GSE145926	Down	GO:0006631	fatty acid metabolic process
GO:0032376	positive regulation of cholesterol transport	3/131	38/18870	0.002309697776835391	0.027788929273129467	0.022123200529842436	TREM2/CES1/APOE	3	C6_Macrophages_RBM47	GSE145926	Down	GO:1905952	regulation of lipid localization
GO:0010887	negative regulation of cholesterol storage	2/131	11/18870	0.00252486702094096	0.029303759667284473	0.02332918066132583	TREM2/CES1	2	C6_Macrophages_RBM47	GSE145926	Down	GO:0010885	regulation of cholesterol storage
GO:0008203	cholesterol metabolic process	5/131	140/18870	0.0029497528785679883	0.03271279146750709	0.026043164110909862	CES1/APOE/APOC1/CYP27A1/LIPA	5	C6_Macrophages_RBM47	GSE145926	Down	GO:0008203	cholesterol metabolic process
GO:0032370	positive regulation of lipid transport	4/131	86/18870	0.0030360502305609672	0.03271279146750709	0.026043164110909862	TREM2/CES1/RETN/APOE	4	C6_Macrophages_RBM47	GSE145926	Down	GO:1905952	regulation of lipid localization
GO:0033700	phospholipid efflux	2/131	14/18870	0.00412094735264628	0.03945807090158813	0.03141318639868086	APOE/APOC1	2	C6_Macrophages_RBM47	GSE145926	Down	GO:0030301	cholesterol transport
GO:0070341	fat cell proliferation	2/131	14/18870	0.00412094735264628	0.03945807090158813	0.03141318639868086	TREM2/LIPA	2	C6_Macrophages_RBM47	GSE145926	Down	GO:0070341	fat cell proliferation
