gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	celltype
ETHE1	0.6595428122783615	-0.3420106765863317	0.132	0.146	1	C11_pDC_LILRA4
XRCC6	0.6598677042727178	-0.3644299368850451	0.382	0.34	1	C11_pDC_LILRA4
EIF2B1	0.6620857995588232	-0.3378212449413236	0.191	0.152	1	C11_pDC_LILRA4
SAP18	0.6621553776090772	-0.4227340092307583	0.559	0.493	1	C11_pDC_LILRA4
RAC1	0.664670143130855	-0.32389176358433747	0.559	0.516	1	C11_pDC_LILRA4
RASA4	0.6646910665040071	-0.2580235409233754	0.147	0.161	1	C11_pDC_LILRA4
SMS	0.6655303126052026	-0.3788923300078427	0.103	0.113	1	C11_pDC_LILRA4
UFC1	0.6658486261449386	-0.47337183752290735	0.426	0.406	1	C11_pDC_LILRA4
IDH3G	0.6661474453754248	-0.46636075231245366	0.294	0.239	1	C11_pDC_LILRA4
CDC26	0.6710675242245631	-0.3877050132456624	0.147	0.155	1	C11_pDC_LILRA4
ZNHIT1	0.6714709355898929	-0.42109313988701536	0.368	0.358	1	C11_pDC_LILRA4
TXN2	0.6721226564074593	-0.39134542752000057	0.279	0.263	1	C11_pDC_LILRA4
IMP4	0.6733436540326888	-0.2814745910016107	0.25	0.206	1	C11_pDC_LILRA4
EPB41L4A-AS1	0.6735499343822949	-0.39046447912488824	0.265	0.23	1	C11_pDC_LILRA4
SNHG8	0.6757099604191248	-0.33675717320626664	0.471	0.403	1	C11_pDC_LILRA4
SLC25A39	0.676372437897709	-0.3313468766120842	0.221	0.224	1	C11_pDC_LILRA4
IL6R	0.6790420335976757	-0.2710827287083223	0.176	0.149	1	C11_pDC_LILRA4
PLD3	0.6790915033441633	-0.36296880133905973	0.162	0.128	1	C11_pDC_LILRA4
TNFSF13	0.6792209635971329	-0.3521367992243011	0.279	0.23	1	C11_pDC_LILRA4
DUT	0.6796336419327348	-0.2851375152508292	0.441	0.352	1	C11_pDC_LILRA4
TBC1D10C	0.6797326881127643	-0.2705582679568286	0.147	0.164	1	C11_pDC_LILRA4
GUSB	0.680406896047923	-0.28527743013575696	0.147	0.161	1	C11_pDC_LILRA4
RNASEH2C	0.6807641510400763	-0.3541924913578036	0.279	0.278	1	C11_pDC_LILRA4
PSMD8	0.6848593087451391	-0.4601841259092234	0.412	0.391	1	C11_pDC_LILRA4
EIF3I	0.6865643296769577	-0.5430076499267291	0.382	0.355	1	C11_pDC_LILRA4
TMEM35B	0.6875712507823115	-0.4763202414359994	0.176	0.173	1	C11_pDC_LILRA4
RNF113A	0.68783726587161	-0.49660813444954643	0.118	0.125	1	C11_pDC_LILRA4
MRPL34	0.68874928251293	-0.4341388449790671	0.324	0.307	1	C11_pDC_LILRA4
LDHA	0.6895316743128154	-0.3311357983901668	0.441	0.358	1	C11_pDC_LILRA4
CLTB	0.6899015628520285	-0.3475687030229132	0.265	0.266	1	C11_pDC_LILRA4
SDHD	0.6904005398452076	-0.29564735802097986	0.25	0.248	1	C11_pDC_LILRA4
MZT2B	0.6914058956052151	-0.38087438075624513	0.515	0.496	1	C11_pDC_LILRA4
TPP1	0.693330101152581	-0.2923787873654482	0.426	0.358	1	C11_pDC_LILRA4
SEC11C	0.6935537203675204	-0.35183845265715663	0.412	0.34	1	C11_pDC_LILRA4
CAST	0.6938607539830683	-0.5018974669317935	0.309	0.316	1	C11_pDC_LILRA4
IMPA2	0.6944678034170189	-0.3287550475262073	0.147	0.152	1	C11_pDC_LILRA4
ACADM	0.6946857594382105	-0.33574083763414675	0.162	0.164	1	C11_pDC_LILRA4
PEA15	0.6953197193157019	-0.30374121505686624	0.235	0.203	1	C11_pDC_LILRA4
RBX1	0.6970710806441758	-0.5203437710257777	0.471	0.427	1	C11_pDC_LILRA4
LYST	0.6976734191740528	-0.42646222654770854	0.147	0.122	1	C11_pDC_LILRA4
EIF4EBP2	0.697946920599998	-0.35439073355847406	0.206	0.215	1	C11_pDC_LILRA4
ADA2	0.6982887642299802	-0.4553638649852737	0.324	0.325	1	C11_pDC_LILRA4
IGBP1	0.6983581758194817	-0.4793963985935148	0.25	0.236	1	C11_pDC_LILRA4
STUB1	0.6991082536065829	-0.4475267967591794	0.368	0.34	1	C11_pDC_LILRA4
PHB2	0.7002272227807221	-0.4888883981764115	0.485	0.43	1	C11_pDC_LILRA4
TIMM8B	0.7003515586706	-0.3892408988810423	0.338	0.331	1	C11_pDC_LILRA4
TMEM141	0.7008230674746326	-0.3343512747309616	0.353	0.281	1	C11_pDC_LILRA4
SELL	0.7013955370503122	-0.37436266473171464	0.588	0.552	1	C11_pDC_LILRA4
NDUFAF3	0.7019601408847057	-0.5913984690931733	0.397	0.358	1	C11_pDC_LILRA4
FLII	0.7030805120020074	-0.3609400047277513	0.191	0.2	1	C11_pDC_LILRA4
TMEM248	0.7040062317179228	-0.2767655572472676	0.294	0.304	1	C11_pDC_LILRA4
NAPRT	0.704710261121352	-0.3035433280003279	0.176	0.191	1	C11_pDC_LILRA4
PRPF6	0.7051272289407527	-0.35717436518325185	0.25	0.257	1	C11_pDC_LILRA4
ATP5ME	0.705969715232251	-0.415751252686442	0.529	0.507	1	C11_pDC_LILRA4
